Voti Fantacalcio 38ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
5311,A,Shomurodov,6,0,0,0,0,0,0,0,0,0
5734,A,Soule',7,0,0,0,0,0,0,0,0,1
4350,ALL,Ranieri C.,7,0,0,0,0,0,0,0,0,0
Torino,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2170,P,Milinkovic-Savic V.,6,0,2,0,0,0,0,0,0,0
49,D,Masina,6,0,0,0,0,0,0,0,0,0
252,D,Biraghi,5.5,0,0,0,0,0,0,0,0,0
4374,D,Walukiewicz,6,0,0,0,0,0,0,0,0,0
4385,D,Lazaro,5,0,0,0,0,0,0,0,0,0
4665,D,Maripan,5.5,0,0,0,0,0,0,1,0,0
6826,D,Dembele' A.,5,0,0,0,0,0,0,0,0,0
2008,C,Linetty,6,0,0,0,0,0,0,0,0,0
4479,C,Elmas,5.5,0,0,0,0,0,0,0,0,0
5453,C,Ricci S.,5.5,0,0,0,0,0,0,0,0,0
5687,C,Vlasic,5.5,0,0,0,0,0,0,0,0,0
5888,C,Casadei,5.5,0,0,0,0,0,0,0,0,0
6170,C,Gineitis,6,0,0,0,0,0,0,0,0,0
7052,C,Perciun,6,0,0,0,0,0,0,0,0,0
6646,A,Adams C.,6,0,0,0,0,0,0,0,0,0
7063,A,Gabellini,6*,0,0,0,0,0,0,0,0,0
6619,ALL,Vanoli,5.5,0,0,0,0,0,0,0,0,0
Udinese,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
6462,P,Okoye,6,0,3,0,0,0,0,0,0,0
4263,D,Kabasele,7,1,0,0,0,0,0,0,0,0
5847,D,Bijol,4.5,0,0,0,0,0,0,0,1,0
6047,D,Ehizibue,5.5,0,0,0,0,0,0,0,0,0
6211,D,Zemura,5.5,0,0,0,0,0,0,0,0,0
6925,D,Palma,6*,0,0,0,0,0,0,0,0,0
6956,D,Solet,6,0,0,0,0,0,0,0,0,0
6212,C,Zarraga,5.5,0,0,0,0,0,0,0,0,0
6680,C,Karlstrom,5.5,0,0,0,0,0,0,1,0,0
6684,C,Ekkelenkamp,5.5,0,0,0,0,0,0,0,0,0
6908,C,Atta,6,0,0,0,0,0,0,0,0,0
2475,A,Sanchez,5.5,0,0,0,0,0,0,0,0,0
5637,A,Davis K.,6*,0,0,0,0,0,0,0,0,0
6215,A,Lucca,7,1,0,0,0,0,0,0,0,0
6653,A,Bravo,6*,0,0,0,0,0,0,0,0,0
6623,ALL,Runjaic,6,0,0,0,0,0,0,0,0,0
Venezia,,,,,,,,,,,,
